Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
SAN LUIS,,,--,,,--,,
SAN LUIS,,Naranjo Esquino,--,,--,--,,--
SAN LUIS,,Nogolí,--,,SI,--,,--
SAN LUIS,Belgrano,,--,--,,--,--,--
,Belgrano,Pozo Del Tala,,--,--,--,--,
SAN LUIS,Belgrano,Represa Del Carmen,,--,--,,--,--
,Belgrano,San Antonio,,--,--,,--,--
,Belgrano,San Pedro,--,--,--,--,--,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,,Suyuque Nuevo,--,,--,--,,
,Belgrano,Toro Negro,--,--,--,--,--,--
SAN LUIS,Chacabuco,Villa Larca,,--,--,,SI,--
SAN LUIS,Coronel Pringles,,--,--,,--,--,
SAN LUIS,,,--,,--,--,,
SAN LUIS,Coronel Pringles,Cerros Largos,,--,--,,--,--
,Coronel Pringles,Cienaga De Intihuasi,--,--,--,--,--,--
,Coronel Pringles,El Arenal,--,--,--,--,--,
,Coronel Pringles,El Baldecito,,--,--,,--,
SAN LUIS,,El Durazno,--,,--,--,,--
SAN LUIS,,,--,,,SI,,--
SAN LUIS,Coronel Pringles,Eleodoro Lobos,,--,--,,--,
,Coronel Pringles,Estancia Grande,--,--,--,--,--,--
,Coronel Pringles,Fraga,,--,SI,,SI,--
,Coronel Pringles,Intihuasi,--,--,--,--,--,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,,La Florida,--,,--,--,,
SAN LUIS,,,--,,,--,,--
SAN LUIS,Coronel Pringles,,SI,--,,SI,--,--
,Coronel Pringles,La Totora,--,--,--,SI,--,
SAN LUIS,Coronel Pringles,Las Barranquitas,,--,--,,--,
SAN LUIS,Coronel Pringles,,--,--,,--,--,--
SAN LUIS,,,--,,,--,,--
,Coronel Pringles,Marmol Verde,--,--,--,--,--,--
,Coronel Pringles,Pampa Del Tamboreo,,--,--,,--,
SAN LUIS,,Paso Del Rey,--,,--,--,,--
SAN LUIS,,,--,,,--,,--
SAN LUIS,Coronel Pringles,,--,--,,--,--,
SAN LUIS,,Saladillo,--,,SI,SI,,--
SAN LUIS,Coronel Pringles,Valle De Pancanta,,--,--,,--,--
,General Pedernera,5Ta Brigada,,--,--,,--,--
SAN LUIS,,,--,,,--,,
SAN LUIS,General Pedernera,,--,--,,--,--,
SAN LUIS,,,--,,,--,,--
SAN LUIS,,Country Club Los Caldenes,--,,--,--,,--
,General Pedernera,Dique Vulpiani,,--,--,,--,--
,General Pedernera,Juan Jorba,--,--,--,SI,SI,
,General Pedernera,Juan Llerena,--,--,--,,SI,--
SAN LUIS,General Pedernera,Justo Daract,,SI,--,,SI,--
SAN LUIS,,La Angelina,--,,--,--,,
SAN LUIS,General Pedernera,,--,--,,SI,--,--
SAN LUIS,General Pedernera,La Punilla,,--,--,,SI,--
,General Pedernera,La Ribera,,--,--,,--,--
SAN LUIS,,Las Isletas,--,,--,--,,--
SAN LUIS,,,--,,,--,,
,General Pedernera,Liborio Luna,--,--,--,SI,--,--
,General Pedernera,Nación Ranquel,,--,--,,--,--
SAN LUIS,General Pedernera,Rio Quinto,,--,--,,--,
,General Pedernera,San José del Morro,--,--,--,--,--,
SANTA FE,San Lorenzo,,--,--,,SI,SI,--
SANTA FE,,Fray Luis Beltrán,SI,,,SI,,--
,San Lorenzo,Fuentes,,--,SI,,SI,--
SANTA FE,San Lorenzo,Luis Palacios (Est. La Salada),,--,--,,SI,
SANTA FE,San Lorenzo,Puerto General San Martín,,--,SI,,--,SI
,San Lorenzo,Pujato,SI,--,--,SI,SI,--
SANTA FE,,,SI,,,SI,SI,
SANTA FE,,Roldán,SI,,SI,SI,,
SANTA FE,,,SI,,,SI,,--
SANTIAGO DEL ESTERO,Aguirre,,--,--,,--,--,--
,General Obligado,Florencia,,--,--,,SI,
SANTA FE,General Obligado,Guadalupe Norte,,--,--,,SI,--
SANTA FE,General Obligado,,--,--,,--,SI,SI
SANTA FE,,,--,,--,--,,SI
,General Obligado,La Sarita,--,--,--,SI,SI,--
,General Obligado,Lanteri,,--,--,,SI,
SANTA FE,,Las Garzas,SI,,--,SI,,--
SANTA FE,General Obligado,,SI,--,,SI,,SI
SANTA FE,General Obligado,,--,--,,SI,SI,
SANTA FE,,,SI,,,SI,,--
SANTA FE,General Obligado,Paraje San Manuel,,--,--,,SI,SI
,General Obligado,Puerto Reconquista,,--,--,,SI,--
SAN LUIS,,Talita,--,,--,--,,
SAN LUIS,La Capital,,--,--,,--,--,
SAN LUIS,,Alto Pencoso,--,,SI,SI,,--
SAN LUIS,La Capital,,--,--,,SI,,SI
,La Capital,Beazley,--,--,--,--,--,
,La Capital,Boca Del Tigre,,--,--,,--,SI
SAN LUIS,La Capital,Cazador,,--,--,,--,--
,La Capital,Cerro Colorado,,--,--,,--,--
SAN LUIS,La Capital,,--,--,,--,--,--
SAN LUIS,,,--,,,SI,,
,La Capital,CRUZ DE PIEDRA,--,--,--,,--,--
SAN LUIS,La Capital,Daniel Donovan,,--,--,,--,--
SAN LUIS,,,--,,,--,--,
SAN LUIS,,El Charabon,--,,--,--,,--
SAN LUIS,La Capital,El Chorrillo,,--,--,,--,--
,La Capital,El Volcán,--,--,--,--,SI,--
,La Capital,Estancia Grande,,--,--,,--,
SAN LUIS,La Capital,Jarilla,,--,--,,--,
SAN LUIS,,,--,,,--,,--
SAN LUIS,La Capital,,SI,SI,,--,SI,--
SAN LUIS,La Capital,La Punta,,--,SI,,--,
,La Capital,Las Barrancas,--,--,--,--,--,SI
,La Capital,Las Chacras,--,--,--,--,--,--
,Orán,San Ramón de la Nueva Orán,,--,SI,,SI,SI
SALTA,,Urundel,--,,SI,SI,,
SALTA,,,--,,,--,,
SALTA,Rivadavia,,--,--,,--,--,--
SALTA,,,SI,,SI,SI,,SI
SALTA,Rivadavia,Hito 1,,--,--,,--,--
,Rivadavia,La Unión,--,--,--,SI,--,
SALTA,,,--,,,SI,,--
SALTA,Rivadavia,,--,--,,SI,--,--
,Rivadavia,Rivadavia,,--,SI,,--,
,Rivadavia,Santa María,--,--,--,--,--,--
SALTA,,,--,,,--,,--
SALTA,,Santa Victoria Este,SI,,SI,SI,,SI
SALTA,,Antilla,--,,SI,SI,,SI
SALTA,Rosario de la Frontera,,--,--,,SI,--,
,Rosario de la Frontera,El Naranjo,,--,SI,SI,--,SI
RIO NEGRO,El Cuy,Naupa Huen,,--,SI,,--,--
RIO NEGRO,El Cuy,,--,--,,--,--,
RIO NEGRO,,,--,,,--,,
RIO NEGRO,General Roca,,SI,SI,,SI,SI,SI
RIO NEGRO,,Bajo San Cayetano,--,,--,SI,,--
RIO NEGRO,General Roca,Barda del Medio,,SI,--,,SI,SI
,General Roca,Barrio Blanco,,--,--,,--,
,General Roca,Barrio Calle Ciega Nº10,--,--,--,--,--,--
,General Roca,Barrio Calle Ciega Nº6,,--,--,,--,--
RIO NEGRO,,Barrio Canale,--,,--,--,,
RIO NEGRO,,,--,,,SI,,--
,General Roca,Barrio Costa Este,,--,--,,--,--
,General Roca,Barrio Costa Linda,--,--,--,--,--,--
RIO NEGRO,,Barrio Costa Oeste,--,,,SI,,
RIO NEGRO,General Roca,,--,--,,--,--,
,General Roca,Barrio El Labrador,--,--,--,--,--,--
RIO NEGRO,General Roca,Barrio El Maruchito,,--,--,,--,--
,General Roca,Barrio El Petróleo,,--,--,,--,
,General Roca,Barrio El Treinta,--,--,--,SI,--,
RIO NEGRO,,,--,,,--,,--
RIO NEGRO,,Barrio Fátima,--,,--,--,,--
,General Roca,Barrio Frontera,--,--,--,--,--,--
RIO NEGRO,General Roca,Barrio Goretti,,--,--,,--,
,9 de Julio,Prahuaniyeu,,--,--,,SI,SI
,9 de Julio,Sierra Colorada,--,--,SI,SI,--,SI
RIO NEGRO,,,--,,,--,,
RIO NEGRO,,Yaminué,--,,--,--,,--
RIO NEGRO,,Bahía Creek,--,,--,--,,--
RIO NEGRO,Adolfo Alsina,,--,--,,SI,SI,--
,Adolfo Alsina,El Juncal,,--,--,--,--,
RIO NEGRO,Adolfo Alsina,Guardia Mitre,,--,--,,SI,
RIO NEGRO,Adolfo Alsina,,--,--,,--,--,--
RIO NEGRO,,,--,,,--,,--
,Adolfo Alsina,Pozo Salado,--,--,--,--,--,
,Adolfo Alsina,San Javier,,--,--,,SI,SI
RIO NEGRO,,Viedma,SI,,SI,SI,,SI
RIO NEGRO,,,--,,,--,,--
RIO NEGRO,Avellaneda,,--,--,,--,--,--
RIO NEGRO,,,--,,SI,SI,,
RIO NEGRO,Avellaneda,Choele Choel,,SI,SI,,SI,SI
,Rosario de la Frontera,El Potrero,--,--,SI,--,--,SI
RIO NEGRO,,,--,,,SI,,
RIO NEGRO,Avellaneda,,--,--,,SI,--,
RIO NEGRO,,,--,,,SI,SI,SI
RIO NEGRO,,Luis Beltrán,--,,SI,SI,,SI
RIO NEGRO,Avellaneda,Pomona,,--,--,,--,
,Bariloche,Arelauquen,--,--,--,SI,--,--
,Bariloche,Barrio El Pilar,,--,--,,--,--
RIO NEGRO,Bariloche,Colonia Suiza,,--,--,,--,--
RIO NEGRO,,,SI,,,SI,,SI
RIO NEGRO,Bariloche,,--,--,,SI,--,
RIO NEGRO,Bariloche,Mallín Ahogado,,--,--,,--,--
,Bariloche,Rio Villegas,--,--,--,--,SI,SI
RIO NEGRO,,Barrio Guerrico,SI,,SI,--,,
RIO NEGRO,General Roca,,--,--,,--,,
,General Roca,Barrio La Barda,--,--,--,--,--,--
,General Roca,Barrio La Costa,,--,--,,--,--
RIO NEGRO,General Roca,Barrio La Costa,,--,--,,--,--
,General Roca,Barrio La Defensa,,--,--,,--,
RIO NEGRO,General Roca,,--,--,,--,--,--
RIO NEGRO,,,--,,,SI,,--
,General Roca,Barrio La Ribera - Barrio APYCAR,--,--,--,,--,
RIO NEGRO,General Roca,Barrio Las Angustias,,--,--,,--,--
,General Roca,Barrio Luisillo,--,--,--,--,--,--
,General Roca,Barrio Mar del Plata,,--,--,,--,--
RIO NEGRO,,Barrio María Elvira,--,,--,SI,,--
RIO NEGRO,General Roca,,--,--,,--,,
RIO NEGRO,General Roca,,--,--,,SI,SI,--
RIO NEGRO,,,--,,,--,,--
RIO NEGRO,General Roca,Barrio Norte (municipio de Cipolletti),,--,--,,--,
,General Roca,Barrio Pinar,,--,--,,--,
RIO NEGRO,,Barrio Pino Azul,--,,--,SI,,--
RIO NEGRO,General Roca,,--,--,,--,--,--
RIO NEGRO,General Roca,Barrio Presidente Perón,,--,--,,--,--
,General Roca,Barrio Puente 83,--,--,--,--,--,
RIO NEGRO,,,--,,,--,--,--
RIO NEGRO,,Barrio Santa Lucia,--,,--,--,,--
RIO NEGRO,,,--,,,--,,
RIO NEGRO,General Roca,,--,--,,SI,--,--
,General Roca,Catriel,,--,SI,,--,SI
RIO NEGRO,General Roca,Cervantes,,--,--,,SI,SI
RIO NEGRO,General Roca,,--,--,,SI,SI,
RIO NEGRO,,,SI,,SI,SI,,
RIO NEGRO,,Cipolletti,SI,,SI,SI,,SI
RIO NEGRO,,,--,,,SI,,SI
,General Roca,Ferri,--,--,--,SI,--,--
,General Roca,General Enrique Godoy,,--,SI,,--,
RIO NEGRO,General Roca,General Fernández Oro,,SI,SI,,SI,SI
,General Roca,General Roca,SI,SI,SI,SI,SI,SI
RIO NEGRO,General Roca,,SI,SI,,SI,SI,
RIO NEGRO,,Ingeniero Otto Krause,--,,,--,,--
,General Roca,Mainqué,,--,--,,--,SI
RIO NEGRO,General Roca,Paso Córdova,,--,--,,--,--
RIO NEGRO,,,--,,,--,,
RIO NEGRO,,Peñas Blancas,--,,--,--,,
,General Roca,Puente Cero,,--,--,,--,--
,General Roca,Sargento Vidal,--,--,--,SI,--,--
,General Roca,Tres Luces,--,--,--,,--,
RIO NEGRO,General Roca,Villa Alberdi,,--,--,,--,--
RIO NEGRO,,Villa del Parque,--,,--,--,,--
RIO NEGRO,General Roca,,--,--,,SI,SI,SI
RIO NEGRO,General Roca,Villa Regina,,SI,SI,,SI,SI
,General Roca,Villa San Isidro,,--,SI,,--,
RIO NEGRO,Ñorquincó,Las Bayas,,--,--,,--,--
,Pichi Mahuida,Colonia Juliá y Echarren,,--,SI,SI,--,SI
RIO NEGRO,Pichi Mahuida,,--,--,,--,--,
RIO NEGRO,,Pichi Mahuida,--,,--,--,,
RIO NEGRO,,Río Colorado,SI,,SI,SI,,SI
RIO NEGRO,,,--,,,--,,SI
,Pilcaniyeu,Cañadón Chileno,--,--,--,--,--,
,Pilcaniyeu,Comallo,,--,SI,,--,
RIO NEGRO,Pilcaniyeu,,SI,SI,,SI,,SI
RIO NEGRO,,Laguna Blanca,--,,--,--,,SI
,Pilcaniyeu,Ñirihuau,--,--,--,--,--,
RIO NEGRO,Pilcaniyeu,Paso Flores,,--,--,,--,SI
RIO NEGRO,,,--,,,--,,SI
RIO NEGRO,Pilcaniyeu,,--,--,,--,--,--
RIO NEGRO,,,--,,,--,,SI
RIO NEGRO,,El Empalme,--,,--,--,,
,San Antonio,Las Grutas,,SI,SI,,SI,SI
,San Antonio,Playas Doradas,--,--,--,--,--,--
SAN JUAN,,Chimbas,SI,,SI,SI,,
SAN JUAN,,,--,,,--,--,--
SAN JUAN,Chimbas,,--,--,,SI,--,--
SAN JUAN,,,--,,--,SI,,--
SAN JUAN,Iglesia,Bella Vista,,--,--,,--,
,Iglesia,Iglesia,--,--,--,--,SI,SI
,Iglesia,Las Flores,--,--,--,SI,SI,SI
,Iglesia,Pismanta,,--,--,,--,SI
SAN JUAN,,Rodeo,--,,--,SI,,--
SAN JUAN,,,--,,,--,,
SAN JUAN,Jáchal,El Fical,,--,--,,--,--
,Jáchal,El Fiscal,--,--,--,--,--,--
SAN JUAN,,El Médano,--,,--,--,,
SAN JUAN,Jáchal,,--,--,,--,--,
,Jáchal,Huaco,,--,--,--,SI,--
SAN JUAN,Jáchal,La Falda,,--,--,,--,--
,Jáchal,Mogna,,--,--,,--,
,Jáchal,Niquivil,--,--,--,SI,SI,
SAN JUAN,,,--,,,--,,--
SAN JUAN,,San Isidro,--,,--,--,,--
,San Antonio,Puerto San Antonio Este,SI,--,SI,--,SI,
RIO NEGRO,San Antonio,Punta Colorada,,--,--,,--,--
RIO NEGRO,San Antonio,Saco Viejo,,--,--,,--,SI
,San Antonio,San Antonio Oeste,,SI,SI,,SI,SI
RIO NEGRO,San Antonio,,SI,SI,,SI,SI,
RIO NEGRO,,,--,,,--,,
RIO NEGRO,,Arroyo Los Berros,--,,--,--,,SI
RIO NEGRO,Valcheta,,--,--,,--,SI,SI
,Valcheta,Nahuel Niyeu,--,--,SI,--,--,
,Valcheta,Sierra Pailemán,,--,--,,SI,
RIO NEGRO,,,--,,,SI,,SI
SALTA,,Apolinario Saravia,--,,SI,SI,,SI
,Anta,Ceibalito,,--,SI,,--,
SALTA,Anta,Centro 25 de Junio,,--,--,,--,--
SALTA,,,--,,,SI,,SI
SALTA,Anta,,--,--,,SI,--,SI
SALTA,,,--,--,,SI,--,--
SALTA,,Atocha,--,,SI,SI,,
SALTA,Capital,El Tipal - La Almudena,,--,--,,--,SI
,Capital,La Ciénaga y Barrio San Rafael,--,--,--,SI,--,--
SALTA,,Las Costas,--,,--,--,,
SALTA,,,SI,,,SI,,
SALTA,,,SI,,,SI,,SI
SALTA,Cerrillos,,--,--,,SI,--,--
,Cerrillos,Barrio Las Tunas,,--,SI,,--,--
SALTA,Cerrillos,Barrio Los Olmos,,--,--,,--,
SALTA,Cerrillos,Barrio Los Pinares,,--,SI,,--,--
,Cerrillos,Cerrillos,SI,--,SI,SI,SI,SI
SALTA,,,--,,,--,--,
SALTA,,Misión Tierras Fiscales,--,,--,--,,--
,Cerrillos,La Merced,--,--,SI,SI,SI,SI
,Cerrillos,San Agustín,,--,--,,SI,SI
SALTA,Cerrillos,,--,--,,SI,--,
SALTA,,,--,,,--,,
SALTA,Chicoana,Barrio La Rotonda,,--,SI,,--,--
,Chicoana,Barrio Santa Teresita,,--,SI,,--,--
,Chicoana,Chicoana,SI,--,SI,SI,SI,
SALTA,Chicoana,El Carril,,--,SI,,SI,SI
SALTA,,Campo Santo,SI,,SI,SI,,SI
SALTA,General Güemes,,--,--,,SI,,--
,General Güemes,El Bordo,,--,SI,,--,--
,General Güemes,General Güemes,SI,--,SI,SI,SI,
,Santa Victoria,Santa Victoria,--,--,SI,,--,SI
SAN JUAN,25 de Mayo,Campo Afuera,,--,--,,--,--
SAN JUAN,,El Encón,--,,--,SI,,--
SAN JUAN,25 de Mayo,,--,--,,--,--,
SAN JUAN,,,--,,,--,,--
SAN JUAN,,Villa Borjas,--,,--,--,,--
,25 de Mayo,Villa Borjas - La Chimbera,,--,--,,SI,
,25 de Mayo,Villa El Tango,--,--,--,--,--,
SAN JUAN,,Villa Santa Rosa,--,,--,SI,,--
SAN JUAN,9 de Julio,,--,--,,SI,SI,SI
SAN JUAN,9 de Julio,Alto de Sierra,,--,--,,--,--
,9 de Julio,Colonia Fiorito,--,--,--,--,--,
SAN JUAN,9 de Julio,,--,--,,SI,--,--
SAN JUAN,,El Rincón,SI,,,SI,,--
SAN JUAN,,La Cañada,--,,--,--,,
SAN JUAN,,,--,,,--,,--
,Albardón,Villa General San Martin,--,--,--,--,--,--
,Albardón,Villa General San Martín - Campo Afuera,,--,--,,--,--
SAN JUAN,,,--,--,,--,SI,
SAN JUAN,,Villa El Salvador,--,,--,SI,,
SAN JUAN,,,--,,,SI,,--
SAN JUAN,,Barreal - Villa Pituil,--,,--,--,,--
,Calingasta,Calingasta,,--,--,,SI,
,Calingasta,Tamberías,--,SI,--,--,SI,--
,Calingasta,Villa Pituil,--,--,--,--,--,--
SAN JUAN,Capital,San Juan,,SI,SI,,SI,SI
SAN JUAN,,,--,,,--,,--
SAN JUAN,Caucete,,--,--,,--,SI,
SAN JUAN,Caucete,Caucete,,--,--,,SI,--
,Caucete,El Rincón,,--,--,,--,--
SAN JUAN,,Las Talas,--,,--,--,,
SAN JUAN,,,--,,,--,,--
,Caucete,Los Medanos,--,--,--,--,--,--
,Caucete,Marayes,,--,--,,--,--
SAN JUAN,Caucete,Pie de Palo,,--,--,,--,
,Caucete,Vallecito,,--,--,,--,
SAN JUAN,Caucete,,--,--,,--,--,--
SALTA,,Rosario de la Frontera,SI,,SI,SI,,SI
,Rosario de la Frontera,San Felipe,,--,--,,--,
SALTA,Rosario de Lerma,Campo Quijano,,--,SI,,SI,SI
,Rosario de Lerma,La Merced del Encón,,--,SI,,--,--
SALTA,Rosario de Lerma,La Silleta,,--,SI,,SI,SI
SALTA,,,SI,,,SI,,
SALTA,San Carlos,,--,--,,SI,--,--
SALTA,San Carlos,,--,--,,SI,SI,SI
SALTA,,El Barrial,--,,--,--,,--
,San Carlos,San Carlos,,--,SI,,SI,
,Santa Victoria,Acoyte,--,--,--,--,--,
SALTA,,Campo La Cruz,--,,--,--,,--
SALTA,,,--,,,--,,--
SALTA,Santa Victoria,Nazareno,,--,SI,,--,
,Santa Victoria,Poscaya,,--,--,,--,--
MISIONES,Iguazú,,SI,--,,SI,SI,SI
MISIONES,,,--,,,SI,,--
MISIONES,,Arroyo del Medio,--,,--,SI,,--
MISIONES,,,--,--,,--,--,
,Leandro N. Alem,Cerro Azul,--,--,SI,SI,SI,SI
MISIONES,Leandro N. Alem,Dos Arroyos,,--,SI,,SI,--
MISIONES,,,--,,,SI,,
MISIONES,,Leandro N. Alem,SI,,SI,SI,,
MISIONES,,,--,,,--,,--
MISIONES,Leandro N. Alem,,--,--,,--,--,--
,Leandro N. Alem,Villa Libertad (Municipio Leandro N. Alem),--,--,--,--,--,
MISIONES,Libertador Grl. San Martín,Capioví,,--,--,,SI,SI
,Libertador Grl. San Martín,Capioviciño,,--,--,,--,--
,Libertador Grl. San Martín,El Alcázar,--,--,--,SI,SI,SI
MISIONES,,,SI,,,SI,,SI
MISIONES,,Mbopicuá,--,,--,--,,
,San Rafael,Goudge,--,--,--,SI,SI,--
MENDOZA,San Rafael,Jaime Prats,,--,--,,SI,--
MENDOZA,San Rafael,,--,--,,--,SI,
MENDOZA,,Las Malvinas,--,,--,--,,
MENDOZA,San Rafael,Los Reyunos,,--,--,,--,--
,San Rafael,Monte Comán,,--,SI,,SI,--
,San Rafael,Pobre Diablo,--,--,--,SI,--,--
,San Rafael,Punta del Agua,,--,SI,,--,
MENDOZA,,Rama Caída,--,,--,SI,,--
MENDOZA,,,--,,,SI,,--
,San Rafael,Salto de Las Rosas,,SI,--,,SI,
,San Rafael,San Rafael,SI,SI,SI,SI,SI,--
MENDOZA,San Rafael,Villa Atuel,,--,--,,SI,--
,San Martín,PALMIRA,,--,SI,,--,--
MENDOZA,San Martín,,--,--,,SI,--,SI
MENDOZA,,Tres Porteñas,--,,SI,SI,,
MENDOZA,,25 de Mayo,--,,--,SI,,--
MENDOZA,,,--,,,SI,,--
,San Rafael,Barrio Echeverria,--,--,--,SI,--,
,San Rafael,Barrio El Nevado,,--,--,,--,
MENDOZA,San Rafael,,--,--,,--,,--
MENDOZA,,Barrio Intendencia,--,,--,SI,,--
,San Rafael,Barrio Las Rosas,--,--,--,--,--,--
MENDOZA,San Rafael,Barrio Primavera,,--,--,,--,
MENDOZA,,,--,,,SI,,--
MENDOZA,San Rafael,,SI,SI,,--,SI,SI
MENDOZA,,,--,,,SI,,
MENDOZA,,El Nihuil,--,,--,--,,--
,San Rafael,El Sosneado,,--,--,,--,--
,San Rafael,El Tropezón,--,--,--,--,--,--
MENDOZA,,La Arboleda,--,,--,SI,,
MENDOZA,,,--,,,SI,--,
MENDOZA,Tupungato,,SI,--,,SI,SI,SI
MENDOZA,,,--,,,--,,--
MISIONES,25 de Mayo,25 de Mayo,,--,--,,SI,SI
,25 de Mayo,Alba Posse,,--,SI,,SI,
,25 de Mayo,Alicia Baja,--,--,--,--,--,--
MISIONES,25 de Mayo,Colonia Alicia,,--,--,,--,--
MISIONES,,Colonia Aurora,--,,--,SI,,
MISIONES,25 de Mayo,,--,,,--,--,--
,25 de Mayo,Santa Rita,,--,SI,,SI,SI
,Apóstoles,Apóstoles,SI,--,SI,SI,SI,SI
MISIONES,,,--,,,SI,,
MISIONES,Apóstoles,,--,--,,--,--,
,Apóstoles,Estación Apóstoles,,--,--,,--,--
MISIONES,Apóstoles,Pindapoy,,--,--,,--,--
MISIONES,Cainguás,Aristóbulo del Valle,,--,SI,,SI,
,Cainguás,Campo Grande,SI,--,SI,SI,SI,SI
MISIONES,Cainguás,,--,--,,--,,--
MISIONES,,Dos de Mayo Núcleo II,--,,--,--,,--
,Cainguás,Dos de Mayo Núcleo III,--,--,--,--,--,--
,Cainguás,Kilómetro 17,,--,--,,--,
,Cainguás,Nucleo I,--,--,--,--,--,--
,Cainguás,Nucleo Ii,,--,--,,--,--
MISIONES,,Pueblo Illia,--,,--,--,,
MISIONES,Cainguás,,--,--,,SI,SI,
MISIONES,Candelaria,,--,--,,--,--,--
MISIONES,,,SI,,,SI,,--
MISIONES,Candelaria,Candelaria,,--,--,,SI,SI
,Candelaria,Cerro Corá,,--,--,,--,
MISIONES,,Loreto,--,,--,--,,--
MISIONES,Candelaria,,--,--,,SI,--,--
MISIONES,Candelaria,Profundidad,,--,--,,--,
,Candelaria,Puerto Santa Ana,--,--,--,--,--,--
SALTA,,,--,--,,--,--,--
MISIONES,,Santa Ana,SI,,--,SI,,--
MISIONES,,,--,,,--,,--
MISIONES,Capital,,SI,--,,SI,SI,
,Capital,Nemesio Parma,,--,--,,--,--
MISIONES,Capital,Posadas,,--,SI,,SI,SI
MISIONES,Capital,,--,--,,SI,--,
MISIONES,,,--,,,--,,--
MISIONES,,Concepción de la Sierra,--,,SI,SI,,SI
MISIONES,,,--,--,,SI,--,--
,Concepción,Santa María,--,--,--,--,--,
MISIONES,Eldorado,9 de Julio,,--,--,,SI,--
MISIONES,Eldorado,9 de Julio Kilómetro 20,,--,--,,--,--
,Eldorado,Colonia Victoria,,--,--,,SI,--
MISIONES,Eldorado,,SI,--,,SI,SI,SI
MISIONES,,,--,,,SI,,
,Libertador Grl. San Martín,Puerto Leoni,--,--,--,SI,--,--
MISIONES,Libertador Grl. San Martín,Puerto Rico,,--,--,,SI,--
MISIONES,Libertador Grl. San Martín,,SI,--,,SI,SI,
MISIONES,,San Alberto,--,,--,--,,
,Libertador Grl. San Martín,San Gotardo,,--,--,,--,--
,Libertador Grl. San Martín,San Miguel,SI,--,--,SI,--,--
,Libertador Grl. San Martín,Villa Akerman,,--,--,,--,
MISIONES,Libertador Grl. San Martín,Villa Urrutia,,--,--,,--,
MISIONES,,,--,,,--,,--
MISIONES,Montecarlo,,--,--,,--,--,--
MISIONES,Montecarlo,Barrio Guatambu,,--,--,,--,
,Montecarlo,Caraguatay,--,--,--,,SI,--
,Montecarlo,Laharrague,--,--,--,--,--,--
,Montecarlo,Montecarlo,,--,SI,,SI,--
MISIONES,,Piray Kilómetro 18,--,,--,SI,,
MISIONES,,,SI,,,SI,,
MISIONES,Montecarlo,,--,--,,--,--,SI
MISIONES,,Villa Parodi,--,,--,--,,--
MISIONES,Oberá,Alberdi,,--,SI,,SI,
,Oberá,Barrio Escuela 461,,--,--,--,--,
MISIONES,,,--,,,SI,,--
MISIONES,Oberá,,--,--,,SI,SI,SI
,Oberá,Campo Viera,,--,SI,,SI,
,Oberá,El Salto,--,--,--,SI,--,--
MISIONES,,,--,,,SI,,--
MISIONES,,Guaraní,SI,,SI,SI,,--
MISIONES,,,--,,,SI,,--
MISIONES,Oberá,,SI,--,,SI,SI,
,Oberá,Panambí,--,--,SI,--,SI,--
MISIONES,Oberá,Panambi Kilómetro 15,,--,--,,--,--
MISIONES,Oberá,,--,--,,SI,--,
MISIONES,,,--,,,SI,,
MISIONES,,,--,,,SI,,--
MISIONES,,Barrio Tungoil,--,,--,--,,--
,San Ignacio,Colonia Polana,,--,--,,--,--
,San Ignacio,Corpus,--,--,--,SI,SI,
,San Ignacio,Domingo Savio,--,--,--,--,--,--
MISIONES,San Ignacio,Gobernador Roca,,--,--,,SI,SI
MISIONES,,Helvecia,--,,,--,,
MISIONES,San Ignacio,,--,--,,SI,--,--
MISIONES,San Ignacio,Jardín América,,--,SI,,SI,--
,San Ignacio,Oasis,,--,--,,--,--
MISIONES,,Roca Chica,--,,--,--,,
MISIONES,,,SI,,,SI,,
,San Ignacio,Santo Pipó,SI,--,--,SI,SI,--
,San Javier,Florentino Ameghino,,--,--,,--,--
MISIONES,San Javier,Itacaruaré,,--,--,,SI,
,San Javier,Mojón Grande,,--,--,,SI,
MISIONES,San Javier,,--,--,,SI,SI,SI
MISIONES,,Cruce Caballero,--,,SI,--,,--
Buenos Aires,San Pedro,Paraíso,,--,SI,,--,--
Buenos Aires,San Pedro,Piñalito Sur,,--,SI,,--,
Buenos Aires,San Pedro,San Pedro,,--,SI,,SI,--
Buenos Aires,San Pedro,Tobuna,--,--,SI,SI,--,--
NEUQUEN,Aluminé,,--,--,,SI,,
NEUQUEN,,Moquehue,--,,--,--,,
NEUQUEN,,,SI,,,SI,,SI
NEUQUEN,Añelo,,--,--,,SI,--,--
,Añelo,Añelo,,--,SI,,SI,
NEUQUEN,Añelo,San Patricio del Chañar,,--,SI,,SI,
NEUQUEN,Catan LilL,,--,SI,,--,SI,SI
NEUQUEN,,Chos Malal,SI,,SI,SI,,SI
,Chos Malal,Tricao Malal,--,--,--,--,SI,--
NEUQUEN,Chos Malal,Villa del Curi Leuvú,,--,--,,--,
NEUQUEN,,Neuquén,SI,,SI,SI,,SI
NEUQUEN,Confluencia,,--,,,SI,--,SI
NEUQUEN,Confluencia,,SI,--,,SI,SI,
NEUQUEN,,,--,,,SI,,SI
NEUQUEN,Confluencia,Villa El Chocón,,SI,--,,SI,--
