Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
CHUBUT,Gastre,El Escorial,,--,--,,SI,SI
,Gastre,Gastre,,--,--,,SI,--
,Gastre,Lagunita Salada,,--,--,,SI,
,Gastre,Yala Laubat,--,--,--,--,--,
CHUBUT,Languiñeo,,--,--,,--,,SI
CHUBUT,,Carrenleufú,--,,--,--,,SI
ENTRE RIOS,,,--,,,SI,,
CABA,COMUNA 10,,SI,SI,,SI,SI,
,Río Cuarto,Coronel Moldes,,--,--,,SI,--
CORDOBA,Río Cuarto,Elena,,--,SI,,SI,--
CORDOBA,Río Cuarto,,SI,--,,--,SI,SI
CORDOBA,,La Cautiva,--,,--,SI,,
,Río Cuarto,La Gilda,--,--,--,--,--,--
CORDOBA,Río Cuarto,Las Acequias,,--,SI,,SI,--
CABA,,BELGRANO,SI,,SI,SI,,SI
CHUBUT,Languiñeo,,--,,,--,SI,
CHUBUT,Languiñeo,,--,--,,--,SI,SI
CHUBUT,,,--,,,--,,SI
CHUBUT,Mártires,El Mirasol,,--,--,,--,
,Mártires,Las Plumas,,--,--,,SI,SI
CHUBUT,,,--,,--,--,,SI
CHUBUT,Paso de Indios,,--,--,,--,SI,SI
CHUBUT,,,--,,,SI,,SI
CHUBUT,,Playa Magagna,--,,--,--,,
Buenos Aires,Bragado,Bragado,,SI,SI,,SI,--
Buenos Aires,Bragado,Comodoro Py,--,--,SI,SI,--,--
Buenos Aires,Bragado,General O'Brien,SI,--,SI,SI,SI,
Buenos Aires,Bragado,Irala,,--,--,,SI,--
BUENOS AIRES,,La Limpia,--,,,--,,--
Buenos Aires,Bragado,,--,--,,--,--,--
Buenos Aires,Bragado,Mechita (Est. Mecha),,--,--,,--,
Buenos Aires,Bragado,Olascoaga,,--,--,,--,
BUENOS AIRES,,Warnes,SI,,--,--,,--
BUENOS AIRES,,,--,,,SI,,--
Buenos Aires,Brandsen,Barrio El Mirador,--,--,--,SI,--,
Buenos Aires,Brandsen,Barrio Las Golondrinas,,--,--,,--,
Buenos Aires,Brandsen,Barrio Los Bosquecitos,,--,--,,--,--
Buenos Aires,Brandsen,Barrio Parque Las Acacias,--,--,--,,--,--
Buenos Aires,Brandsen,,--,--,,SI,--,
BUENOS AIRES,,Club de Campo Las Malvinas,--,,--,--,,
,Paraná,Pueblo Moreno,,--,--,,--,--
RIO NEGRO,General Roca,Barrio Unión,,--,--,,--,--
Buenos Aires,Brandsen,Coronel Brandsen,,--,SI,SI,SI,
Buenos Aires,Brandsen,Gómez,,--,--,,SI,--
BUENOS AIRES,,Jeppener,SI,,SI,SI,,--
Buenos Aires,Brandsen,,--,--,,SI,SI,--
BUENOS AIRES,,,--,,,SI,,
BUENOS AIRES,,Samborombón,--,,--,--,,
Buenos Aires,Campana,Alto Los Cardales,,--,SI,,--,--
Buenos Aires,Campana,Barrio Los Pioneros,--,--,--,SI,--,--
BUENOS AIRES,,Campana,SI,,SI,SI,,
Buenos Aires,Campana,,--,--,,SI,,--
Buenos Aires,Campana,Lomas del Río Luján (Est. Río Luján),,--,--,,--,--
Buenos Aires,General Rodríguez,General Rodríguez,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General San Martín,,--,SI,,SI,SI,
BUENOS AIRES,,,SI,,,SI,,--
BUENOS AIRES,,Ciudad Del Libertador General San Martin,SI,,SI,SI,,SI
BUENOS AIRES,,,--,,,SI,,--
,General San Martín,Va Ma Irene De Los Remedios De Escalada,--,--,--,SI,--,--
,General San Martín,Villa Ayacucho,,--,SI,,--,
BUENOS AIRES,,,SI,,,SI,SI,--
BUENOS AIRES,,Villa Bernardo Monteagudo,--,,SI,SI,,--
BUENOS AIRES,,,--,,SI,SI,,
BUENOS AIRES,General San Martín,,--,--,,SI,--,--
,General San Martín,Villa General Antonio J. De Sucre,--,--,SI,SI,--,--
BUENOS AIRES,General San Martín,Villa General Eugenio Necochea,,--,SI,,--,--
,General San Martín,Villa General Jose Tomas Guido,,--,SI,,--,--
,General San Martín,Villa General Juan G. Las Heras,--,--,SI,SI,--,
BUENOS AIRES,,,--,,,SI,,--
BUENOS AIRES,,Villa Granaderos De San Martín,--,,SI,SI,,--
,General San Martín,Villa Gregoria Matorras,--,--,SI,SI,--,
BUENOS AIRES,General San Martín,Villa José León Suarez,,--,SI,,SI,
Buenos Aires,Mercedes,,--,--,,SI,--,--
BUENOS AIRES,,Jorge Born,--,,--,--,,--
Buenos Aires,Mercedes,Mercedes,,SI,SI,,SI,
Buenos Aires,Mercedes,Tomás Jofré,,--,--,--,--,--
Buenos Aires,Merlo,Libertad,SI,SI,SI,SI,SI,SI
Buenos Aires,Merlo,Mariano Acosta,,--,SI,,SI,--
BUENOS AIRES,,Merlo,SI,,SI,SI,,
BUENOS AIRES,,,SI,,,SI,,
Buenos Aires,Merlo,San Antonio De Padua,,SI,SI,,SI,--
,Monte,Abbott,--,--,SI,SI,SI,SI
,Monte,San Miguel del Monte (Est. Monte),,SI,SI,,SI,
