Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2019,1,Misiones,122720,0,122.720
2019,1,Neuquén,112321,2056,114.377
2019,1,Río Negro,120173,915,121.088
2019,1,Salta,136019,1,136.020
2019,1,San Juan,61881,564,62.445
2019,1,San Luis,96044,291,96.335
2019,1,Santa Cruz,24580,325,24.905
2019,1,Santa Fe,736851,227,737.078
2019,1,Santiago Del Estero,89851,2,89.853
2019,1,Tierra Del Fuego,45903,544,46.447
2019,1,Tucumán,171970,32,172.002
2018,4,Buenos Aires,3626502,10104,3.636.606
2018,4,Capital Federal,1385577,3443,1.389.020
2018,4,Catamarca,33574,9,33.583
2018,4,Chaco,103257,13,103.270
2018,4,Chubut,77204,1518,78.722
2018,4,Córdoba,737234,105,737.339
2018,4,Corrientes,100591,10,100.601
2018,4,Entre Ríos,222003,44,222.047
2018,4,Formosa,45204,0,45.204
2018,4,Jujuy,90132,1,90.133
2018,4,La Pampa,85368,268,85.636
2018,4,La Rioja,51633,18,51.651
2018,4,Mendoza,204982,1322,206.304
2018,4,Misiones,116273,0,116.273
2018,4,Neuquén,112309,2056,114.365
2018,4,Río Negro,115922,915,116.837
2018,4,Salta,134577,1,134.578
2018,4,San Juan,61834,564,62.398
2018,4,San Luis,96040,291,96.331
2018,4,Santa Cruz,24443,325,24.768
2018,4,Santa Fe,720161,229,720.390
2018,4,Santiago Del Estero,89333,2,89.335
2018,4,Tierra Del Fuego,45716,544,46.260
2018,4,Tucumán,171972,32,172.004
2018,3,Buenos Aires,3599714,10563,3.610.277
2018,3,Capital Federal,1385804,6686,1.392.490
2018,3,Catamarca,34215,11,34.226
2018,3,Chaco,102021,12,102.033
2018,3,Chubut,101310,2426,103.736
2018,3,Córdoba,725764,94,725.858
2018,3,Corrientes,99445,11,99.456
2018,3,Entre Ríos,204560,48,204.608
2018,3,Formosa,44865,0,44.865
2018,3,Jujuy,44934,1,44.935
2018,3,La Pampa,83180,244,83.424
2018,3,La Rioja,51855,17,51.872
2018,3,Mendoza,205545,1484,207.029
2018,3,Misiones,108042,0,108.042
2018,3,Neuquén,114713,2005,116.718
2018,3,Río Negro,112433,1059,113.492
2018,3,Salta,132882,1,132.883
2018,3,San Juan,63823,658,64.481
2018,3,San Luis,74121,300,74.421
2018,3,Santa Cruz,33565,434,33.999
2018,3,Santa Fe,694883,217,695.100
2018,3,Santiago Del Estero,86358,2,86.360
2018,3,Tierra Del Fuego,45056,508,45.564
2018,3,Tucumán,171135,31,171.166
2018,2,Buenos Aires,3490134,10565,3.500.699
2018,2,Capital Federal,1362498,6688,1.369.186
2018,2,Catamarca,34078,11,34.089
2018,2,Chaco,98509,12,98.521
2018,2,Chubut,98137,2427,100.564
2018,2,Córdoba,712979,94,713.073
2018,2,Corrientes,97946,11,97.957
2018,2,Entre Ríos,199937,48,199.985
2018,2,Formosa,44554,0,44.554
2018,2,Jujuy,45132,1,45.133
2018,2,La Pampa,82177,244,82.421
2018,2,La Rioja,51931,17,51.948
2018,2,Mendoza,199468,1484,200.952
2018,2,Misiones,106147,0,106.147
2018,2,Neuquén,113842,2006,115.848
2018,2,Río Negro,111176,1059,112.235
2018,2,Salta,134166,1,134.167
2018,2,San Juan,63443,658,64.101
2018,2,San Luis,21168,300,21.468
2018,2,Santa Cruz,33970,435,34.405
2018,2,Santa Fe,684243,309,684.552
2018,2,Santiago Del Estero,83773,2,83.775
2018,2,Tierra Del Fuego,44199,508,44.707
2018,2,Tucumán,169926,31,169.957
2018,1,Buenos Aires,3464882,10564,3.475.446
2018,1,Capital Federal,1359882,6688,1.366.570
2018,1,Catamarca,33934,11,33.945
2018,1,Chaco,96925,12,96.937
2018,1,Chubut,95532,2427,97.959
2018,1,Córdoba,713825,101,713.926
2018,1,Corrientes,94406,11,94.417
2018,1,Entre Ríos,197346,48,197.394
2018,1,Formosa,32328,0,32.328
2018,1,Jujuy,44405,1,44.406
2018,1,La Pampa,82668,396,83.064
2018,1,La Rioja,52228,17,52.245
2018,1,Mendoza,199463,1484,200.947
2018,1,Misiones,103580,0,103.580
2018,1,Neuquén,115897,2006,117.903
2018,1,Río Negro,110057,1062,111.119
2018,1,Salta,133182,1,133.183
2018,1,San Juan,62610,658,63.268
2018,1,San Luis,21096,300,21.396
2018,1,Santa Cruz,33970,435,34.405
2018,1,Santa Fe,679717,309,680.026
2018,1,Santiago Del Estero,82916,2,82.918
2018,1,Tierra Del Fuego,31106,508,31.614
2018,1,Tucumán,168026,31,168.057
2017,4,Buenos Aires,3171206,10690,3.181.896
2017,4,Capital Federal,1575418,6906,1.582.324
2017,4,Catamarca,29548,10,29.558
2017,4,Chaco,96603,12,96.615
2017,4,Chubut,91012,2428,93.440
2017,4,Córdoba,709874,105,709.979
2017,4,Corrientes,93760,11,93.771
2017,4,Entre Ríos,193654,49,193.703
2017,4,Formosa,32056,0,32.056
2017,4,Jujuy,43551,1,43.552
2017,4,La Pampa,81675,396,82.071
2017,4,La Rioja,52177,17,52.194
2017,4,Mendoza,178661,1490,180.151
2017,4,Misiones,103895,0,103.895
2017,4,Neuquén,114965,2006,116.971
2017,4,Río Negro,108702,1062,109.764
2017,4,Salta,132811,1,132.812
2017,4,San Juan,57965,659,58.624
2017,4,San Luis,14604,300,14.904
2017,4,Santa Cruz,29018,434,29.452
2017,4,Santa Fe,672137,323,672.460
2017,4,Santiago Del Estero,68842,2,68.844
2017,4,Tierra Del Fuego,28346,508,28.854
2017,4,Tucumán,162298,34,162.332
2017,3,Buenos Aires,3046758,11202,3.057.960
2017,3,Capital Federal,1563289,7070,1.570.359
2017,3,Catamarca,33467,11,33.478
2017,3,Chaco,93747,12,93.759
2017,3,Chubut,81067,2477,83.544
2017,3,Córdoba,696536,108,696.644
2017,3,Corrientes,92536,12,92.548
2017,3,Entre Ríos,185414,50,185.464
2017,3,Formosa,32105,0,32.105
2017,3,Jujuy,43241,1,43.242
2017,3,La Pampa,79280,410,79.690
2017,3,La Rioja,51896,17,51.913
2017,3,Mendoza,190958,1533,192.491
2017,3,Misiones,100476,0,100.476
2017,3,Neuquén,113755,2029,115.784
2017,3,Río Negro,106393,1103,107.496
2017,3,Salta,132517,1,132.518
2017,3,San Juan,61789,660,62.449
